#{"t_start": 1746154557.2339141, "env_id": "None"}
r,l,t
138.027228,120,23.636818
162.149106,120,23.676052
95.468615,120,24.229202
147.817666,120,24.252175
97.532415,120,24.274513
124.246106,120,24.297137
154.049812,120,24.318632
78.87421,120,24.339351
90.50178,120,24.361042
138.900446,120,24.383229
153.692788,120,24.40419
122.999256,120,24.425102
166.379515,120,24.445498
163.57756,120,24.46549
132.6698,120,24.485607
84.067595,120,24.507567
103.521839,120,24.528128
140.566558,120,24.548262
119.402304,120,24.575137
130.534429,120,25.051316
153.724896,120,25.073319
163.221277,120,25.094714
111.888971,120,25.116868
102.458797,120,25.13987
139.026035,120,25.1613
91.204166,120,25.183567
150.254211,120,25.205547
102.168566,120,25.229509
123.272236,120,25.286252
89.707064,120,25.310321
133.466434,120,25.336625
159.582661,120,25.355703
145.991089,120,25.375898
81.438058,120,25.394881
112.543549,120,25.414705
113.492696,120,25.436519
135.205485,120,25.882347
79.778877,120,25.904579
111.999409,120,25.924113
108.844215,120,25.944961
118.057675,120,25.965265
159.104083,120,25.985519
131.84665,120,26.005947
154.20188,120,26.026378
127.722357,120,26.046459
133.961751,120,26.066065
146.702906,120,26.085991
149.220001,120,26.104882
148.835499,120,26.123252
146.36133,120,26.146905
108.620323,120,26.164501
76.965562,120,26.182236
112.678998,120,26.200061
73.208433,120,26.519059
154.611517,120,26.539239
118.674774,120,26.560146
124.310926,120,26.580714
122.903877,120,26.60034
114.314135,120,26.619972
163.567862,120,26.639276
121.15018,120,26.658222
110.041385,120,26.677382
90.626418,120,26.696416
138.937559,120,26.715595
159.348826,120,26.734492
166.604653,120,26.753528
120.209658,120,26.771956
162.312938,120,26.789891
97.990576,120,26.807849
133.085657,120,26.824705
119.235049,120,27.159562
123.548651,120,27.179817
155.630839,120,27.199313
126.347176,120,27.218992
138.704219,120,27.239527
87.043642,120,27.258506
102.189313,120,27.278524
145.735887,120,27.298358
152.002058,120,27.317758
86.378621,120,27.336638
126.164405,120,27.356477
149.127557,120,27.376303
103.584133,120,27.394661
103.606543,120,27.412828
97.388984,120,27.430488
108.126958,120,27.448251
164.448928,120,27.466775
91.977703,120,27.826433
92.734428,120,27.845337
123.761592,120,27.888057
114.483802,120,27.907983
158.729103,120,27.928114
123.70278,120,27.947799
126.366396,120,27.967686
122.709367,120,27.98759
93.089592,120,28.006829
115.18044,120,28.027326
141.934465,120,28.046327
126.704992,120,28.064319
158.033713,120,28.082363
150.345834,120,28.10041
160.404964,120,28.118331
89.326312,120,28.136306
106.695487,120,28.154753
83.990829,120,28.443821
167.278748,120,28.465978
84.728145,120,28.486803
104.737234,120,28.506318
162.714045,120,28.525686
103.263613,120,28.545714
164.811708,120,28.565812
112.639535,120,28.585895
99.713896,120,28.604203
109.67944,120,28.621816
167.219289,120,28.639384
126.396451,120,28.657153
111.536618,120,28.675427
132.469711,120,28.693125
152.941106,120,28.711053
130.090886,120,28.72725
98.660858,120,28.743802
164.299787,120,28.761355
80.121737,120,29.072258
143.335237,120,29.091882
121.773501,120,29.111062
114.291431,120,29.130342
131.741485,120,29.149527
98.497149,120,29.168631
153.432834,120,29.189226
134.991977,120,29.209954
106.769919,120,29.230173
103.027869,120,29.250512
96.819415,120,29.270325
137.302765,120,29.289436
143.784567,120,29.307871
134.639568,120,29.32581
139.868988,120,29.343114
93.638664,120,29.359992
127.910609,120,29.375921
122.489066,120,29.668551
137.581055,120,29.688884
126.766109,120,29.708891
147.075283,120,29.729188
103.988033,120,29.748716
157.118808,120,29.768584
95.807179,120,29.788488
110.042389,120,29.808433
114.136326,120,29.828675
163.670413,120,29.849195
96.483571,120,29.867963
89.574017,120,29.885847
95.177227,120,29.903508
156.11545,120,29.920903
157.301451,120,29.937914
122.973614,120,29.955101
125.014584,120,29.971214
91.40692,120,30.248516
92.667907,120,30.26847
136.638109,120,30.287723
130.246865,120,30.307633
120.414416,120,30.32755
104.488223,120,30.347645
147.315899,120,30.367611
83.371668,120,30.387714
119.184822,120,30.407775
129.251735,120,30.427874
106.362885,120,30.446197
136.682456,120,30.4642
132.511245,120,30.481574
117.3551,120,30.497541
102.79735,120,30.513827
146.344506,120,30.53123
151.178632,120,30.547467
142.11401,120,30.829681
118.74222,120,30.849847
115.917211,120,30.869769
121.605658,120,30.889283
146.877998,120,30.908992
90.249654,120,30.928759
147.897343,120,30.948204
150.261825,120,30.968116
85.689157,120,30.986934
147.160612,120,31.006141
127.94738,120,31.025512
130.339358,120,31.044038
132.407803,120,31.061574
162.243305,120,31.079223
109.701651,120,31.097158
117.228674,120,31.11457
121.865991,120,31.131436
123.798919,120,31.447266
87.499057,120,31.466308
97.600534,120,31.485938
130.893389,120,31.50601
160.311621,120,31.526064
155.797297,120,31.546336
92.262036,120,31.5662
91.134086,120,31.585777
136.20754,120,31.605995
127.689821,120,31.62531
116.449724,120,31.644992
166.898694,120,31.663286
130.964987,120,31.682295
152.386774,120,31.70115
122.266717,120,31.719925
162.1707,120,31.74171
97.559191,120,31.759042
121.804393,120,32.248442
167.100073,120,32.26978
161.784577,120,32.289439
177.752726,120,32.308562
125.548843,120,32.327728
158.218106,120,32.346837
155.081825,120,32.366818
94.032481,120,32.385914
99.07454,120,32.4049
140.981971,120,32.423787
141.315456,120,32.444209
116.113191,120,32.462832
156.358288,120,32.482118
147.407307,120,32.501261
103.370734,120,32.51958
124.625523,120,32.537365
122.382425,120,32.554442
148.172748,120,32.857429
145.821211,120,32.877526
146.671001,120,32.897496
130.410663,120,32.917594
108.558078,120,32.937675
167.06814,120,32.957774
122.797374,120,32.978238
159.458385,120,32.997956
146.623797,120,33.017855
136.819125,120,33.037899
114.871677,120,33.057299
157.852679,120,33.075323
164.71122,120,33.093024
99.940991,120,33.110813
127.309081,120,33.128504
117.151925,120,33.146242
67.564116,120,33.163341
167.03889,120,33.455304
145.214181,120,33.475444
160.804014,120,33.495565
155.587479,120,33.515418
161.78052,120,33.535576
165.990925,120,33.555134
153.82384,120,33.574821
130.065632,120,33.594288
110.894912,120,33.614258
166.469864,120,33.634389
113.805977,120,33.654495
130.238311,120,33.673799
130.857334,120,33.692495
118.497233,120,33.710936
125.59716,120,33.729292
85.235887,120,33.749735
127.969076,120,33.767274
101.159603,120,34.073358
154.892309,120,34.093526
121.278385,120,34.113528
124.054788,120,34.133553
115.535452,120,34.153711
126.012011,120,34.173896
120.229969,120,34.194046
161.345916,120,34.215184
139.676088,120,34.234904
109.839182,120,34.254567
125.743255,120,34.274218
123.861111,120,34.293408
114.275199,120,34.311639
96.623689,120,34.329397
83.658221,120,34.347102
96.31186,120,34.36453
87.232378,120,34.382407
149.812709,120,34.658152
131.81029,120,34.677552
153.26243,120,34.697271
101.034586,120,34.716999
120.386903,120,34.736501
127.007022,120,34.756019
129.756433,120,34.775955
155.404367,120,34.795493
130.067617,120,34.815131
163.469543,120,34.834801
139.220548,120,34.854103
137.482964,120,34.873152
114.810236,120,34.890515
163.77364,120,34.907789
109.66137,120,34.924709
113.483501,120,34.94269
162.401012,120,34.960865
130.771546,120,35.239138
152.517189,120,35.258782
113.285952,120,35.278578
106.781346,120,35.298188
149.194772,120,35.317944
132.498704,120,35.337031
163.598838,120,35.356593
126.85498,120,35.376755
129.449819,120,35.396642
163.952547,120,35.415978
96.070197,120,35.436059
111.695096,120,35.454645
137.338063,120,35.471016
165.204331,120,35.487357
88.39395,120,35.504035
146.668469,120,35.520227
142.600685,120,35.537416
125.293182,120,35.826905
136.594109,120,35.84686
165.790403,120,35.867094
149.188463,120,35.886828
148.883863,120,35.90669
112.02281,120,35.925903
134.963594,120,35.945391
167.509943,120,35.965143
142.093855,120,35.985025
165.040398,120,36.00499
125.882131,120,36.02356
149.058885,120,36.042213
156.746194,120,36.060741
103.377597,120,36.078654
160.863544,120,36.096082
159.776374,120,36.111766
153.952865,120,36.128507
122.189421,120,36.403548
109.575408,120,36.422991
120.590746,120,36.443025
152.393241,120,36.462822
91.468863,120,36.483204
83.343535,120,36.50253
124.143929,120,36.521625
134.140327,120,36.540985
109.25369,120,36.560172
161.526976,120,36.579283
112.242097,120,36.598592
127.500699,120,36.616816
156.285857,120,36.63433
155.918044,120,36.651711
105.188444,120,36.668876
127.448093,120,36.685875
64.29739,120,36.702069
126.731525,120,36.978575
102.575657,120,36.998109
116.601295,120,37.017488
163.738308,120,37.037067
90.481276,120,37.056799
112.039846,120,37.076056
148.762041,120,37.095272
167.92105,120,37.114581
121.60697,120,37.133695
167.588927,120,37.153265
147.482638,120,37.172799
158.827564,120,37.191602
149.676269,120,37.208701
145.515021,120,37.224939
132.802092,120,37.241638
137.799873,120,37.258311
85.735169,120,37.275576
163.908285,120,37.54941
143.615104,120,37.568248
126.181595,120,37.587355
158.105466,120,37.606639
151.804951,120,37.626324
163.679501,120,37.647158
151.436833,120,37.666722
116.701032,120,37.68606
146.102752,120,37.705932
120.334325,120,37.726015
122.439428,120,37.745907
120.082889,120,37.76472
114.07526,120,37.782297
99.891984,120,37.800139
132.685065,120,37.817401
127.169856,120,37.833284
161.79648,120,37.849808
121.832508,120,37.86577
105.591822,120,38.138452
146.867141,120,38.157634
114.069881,120,38.176224
160.698279,120,38.19498
160.098149,120,38.213572
92.340481,120,38.232637
125.822447,120,38.251318
105.934656,120,38.269889
124.085498,120,38.289212
123.530754,120,38.307896
155.984985,120,38.326571
156.010671,120,38.345177
84.821702,120,38.363242
121.326464,120,38.378874
134.213246,120,38.395645
141.678213,120,38.412577
126.793342,120,38.428672
150.813528,120,38.709585
122.773809,120,38.729392
100.739835,120,38.749516
119.907908,120,38.76954
165.376732,120,38.789146
156.818888,120,38.808272
135.995323,120,38.82738
118.61179,120,38.846027
63.513825,120,38.864053
131.68698,120,38.883799
129.525403,120,38.9024
127.765526,120,38.920328
61.013032,120,38.938274
164.570497,120,38.956333
160.178169,120,38.97404
156.71704,120,38.991661
155.359767,120,39.00913
151.179887,120,39.296381
164.308337,120,39.31633
79.01372,120,39.336527
56.192501,120,39.357019
88.472782,120,39.376518
130.720982,120,39.39654
89.600085,120,39.416151
155.774822,120,39.436429
166.869668,120,39.455384
132.315931,120,39.475047
127.11685,120,39.493678
160.991381,120,39.510513
100.221911,120,39.527414
116.352181,120,39.544239
190.219113,120,39.559915
151.823256,120,39.575538
105.9524,120,39.591898
137.047738,120,39.894391
106.163389,120,39.914368
101.081201,120,39.934354
114.836808,120,39.954388
165.414777,120,39.975285
157.23164,120,39.994653
145.504341,120,40.013894
123.719259,120,40.033495
160.000829,120,40.052799
133.096422,120,40.072195
127.067844,120,40.091584
143.388142,120,40.110415
107.741518,120,40.127502
165.792417,120,40.144502
143.682626,120,40.161414
134.172526,120,40.178059
141.985045,120,40.194179
131.601326,120,40.471447
89.616667,120,40.491185
92.927513,120,40.510991
101.609269,120,40.53071
76.368903,120,40.551581
152.700296,120,40.571259
116.663498,120,40.5907
140.512205,120,40.610649
123.570448,120,40.630519
58.564324,120,40.649972
124.971517,120,40.669076
106.143416,120,40.686883
71.301353,120,40.704266
66.370607,120,40.720259
137.940404,120,40.736169
133.316011,120,40.752668
138.537945,120,40.768997
103.278827,120,41.126568
79.918326,120,41.145591
142.927675,120,41.165376
99.073988,120,41.183746
77.779444,120,41.202675
140.522341,120,41.221702
80.29285,120,41.24089
119.989513,120,41.261538
162.097885,120,41.281443
165.898254,120,41.300953
92.994249,120,41.32075
158.000024,120,41.338604
97.035269,120,41.355551
112.101592,120,41.372779
150.959926,120,41.389878
158.620223,120,41.406777
164.874134,120,41.422826
144.79654,120,41.734983
166.136145,120,41.759225
103.433951,120,41.778992
143.238818,120,41.798191
98.727812,120,41.817704
162.732066,120,41.836021
162.555669,120,41.855468
144.49061,120,41.873957
154.332949,120,41.892503
130.129695,120,41.911431
118.011505,120,41.931655
92.457343,120,41.949434
168.350078,120,41.967291
165.951394,120,41.985247
102.721217,120,42.001271
111.729992,120,42.017825
86.840248,120,42.035129
109.751864,120,42.32044
164.641027,120,42.340276
116.160894,120,42.360523
164.268396,120,42.380578
118.983133,120,42.400464
119.986125,120,42.42014
162.666286,120,42.440791
134.456166,120,42.460985
102.336814,120,42.480376
88.107986,120,42.499926
119.896414,120,42.519595
120.764936,120,42.538886
87.154113,120,42.557355
120.711397,120,42.575654
161.097286,120,42.591378
