#{"t_start": 1746153973.3903182, "env_id": "None"}
r,l,t
146.233317,120,25.314236
102.885052,120,25.353069
105.808666,120,25.383704
54.936479,120,25.420273
139.208352,120,25.44777
53.041692,120,25.475865
137.750533,120,25.504802
60.37237,120,25.532361
56.831824,120,25.560356
57.073419,120,25.588204
40.76831,120,25.625723
111.456772,120,25.651868
72.604316,120,25.679961
115.978886,120,25.714785
53.081375,120,25.747438
140.423539,120,25.774796
155.738876,120,25.839394
69.804952,120,25.870098
63.031637,120,25.89885
77.216257,120,25.928737
81.401675,120,25.960886
54.15718,120,25.991457
43.367307,120,26.023553
48.061712,120,26.051234
63.789047,120,26.080007
138.806803,120,26.108016
62.699048,120,26.136719
108.02202,120,26.165065
67.028674,120,26.193202
155.856832,120,26.243486
49.489832,120,26.272375
54.517035,120,26.300889
146.06922,120,26.332649
86.735381,120,26.360918
70.433088,120,26.389687
51.800349,120,26.418171
68.74416,120,26.446947
64.744976,120,26.475301
122.978374,120,26.505943
62.150313,120,26.534153
132.415602,120,26.562266
58.390407,120,26.590421
132.881632,120,26.653387
123.682289,120,27.022647
146.201742,120,27.078861
35.946322,120,27.107773
68.313186,120,27.146278
52.61233,120,27.178294
63.827824,120,27.24306
143.121403,120,27.29928
114.724617,120,27.33645
45.334718,120,27.372897
63.704624,120,27.411307
142.440657,120,27.441212
76.933244,120,27.475563
59.509032,120,27.505492
55.956349,120,27.542384
79.247036,120,27.570452
59.42793,120,27.602915
68.803942,120,27.63306
63.678363,120,27.663606
149.980282,120,27.724776
95.476928,120,27.774837
137.693839,120,27.892108
60.466025,120,27.947825
104.774941,120,28.011889
52.003036,120,28.051572
101.1266,120,28.081367
73.872823,120,28.110983
142.767227,120,28.140091
66.20187,120,28.17105
67.66906,120,28.200249
56.312787,120,28.243153
147.350221,120,28.279118
69.742353,120,28.313521
108.938688,120,28.376367
44.404488,120,28.411039
49.556975,120,28.449692
85.555764,120,28.543994
134.538477,120,28.574127
58.072841,120,28.607138
54.352918,120,28.664052
70.885776,120,28.730357
61.547958,120,28.844567
111.808166,120,28.879168
139.557681,120,28.906092
57.418036,120,28.940562
130.000074,120,28.969617
64.646944,120,29.00066
67.328483,120,29.029269
69.542485,120,29.059098
88.791039,120,29.090625
122.524554,120,29.120814
145.815858,120,29.149629
149.818837,120,29.190653
90.805846,120,29.223048
63.412746,120,29.25179
161.339497,120,29.280882
57.32314,120,29.310724
72.849596,120,29.346315
69.866413,120,29.378276
52.133798,120,29.406465
59.627275,120,29.446282
148.87203,120,29.480138
72.686624,120,29.510923
127.034377,120,29.539508
71.325585,120,29.578728
117.341183,120,29.609365
139.069878,120,29.639847
105.616051,120,29.670522
52.593917,120,29.714509
126.27654,120,29.743144
73.206932,120,29.771001
60.434815,120,29.8045
110.871806,120,29.925344
126.308478,120,29.973787
61.971783,120,30.002282
91.596247,120,30.032157
51.049343,120,30.063685
51.665455,120,30.093626
58.428646,120,30.123106
127.821095,120,30.15907
147.897218,120,30.187141
58.633478,120,30.215944
178.144671,120,30.250342
136.928196,120,30.281128
125.308875,120,30.310076
70.978441,120,30.338741
130.603598,120,30.367401
138.178934,120,30.394955
43.834506,120,30.424068
62.766559,120,30.452952
56.296987,120,30.480643
118.855082,120,30.509075
45.685886,120,30.547431
73.555711,120,30.574904
79.172752,120,30.602625
94.907669,120,30.63048
138.92982,120,30.660528
101.997041,120,30.695784
134.936853,120,30.722584
53.173412,120,30.751004
59.920975,120,30.779804
97.293167,120,30.816021
65.524794,120,30.842045
72.713677,120,30.869272
91.731593,120,30.89849
102.828523,120,30.927064
158.131736,120,30.958677
70.705783,120,30.986313
87.2947,120,31.015145
79.088817,120,31.043925
49.812368,120,31.072735
71.092462,120,31.101124
58.625233,120,31.12948
89.786193,120,31.157615
59.07791,120,31.186027
58.973089,120,31.214199
149.226166,120,31.243148
58.61427,120,31.271701
60.436565,120,31.299609
140.416107,120,31.327495
89.16247,120,31.360484
50.953957,120,31.388196
70.361454,120,31.41621
124.578046,120,31.444867
65.902772,120,31.499905
54.11643,120,31.52838
67.916473,120,31.55612
65.808878,120,31.584345
67.192641,120,31.612585
83.289658,120,31.640327
132.38705,120,31.667872
63.694913,120,31.706902
54.05319,120,31.734346
138.374457,120,31.762092
94.426805,120,31.790969
75.269135,120,31.823853
72.573728,120,31.851167
147.699011,120,31.878235
122.691599,120,31.906668
146.335929,120,31.934731
133.032253,120,31.964003
100.591372,120,31.991197
103.35527,120,32.019866
116.68063,120,32.048629
97.871258,120,32.079228
123.385929,120,32.106849
61.856082,120,32.135325
32.284561,120,32.16313
118.531777,120,32.192708
63.463251,120,32.220533
69.2128,120,32.250217
54.152193,120,32.278924
110.917104,120,32.30714
73.936364,120,32.3338
130.555082,120,32.360985
72.956593,120,32.389585
127.355604,120,32.453968
116.6302,120,32.491316
77.533848,120,32.520001
98.706958,120,32.549654
55.159976,120,32.578796
46.622322,120,32.618513
48.368909,120,32.645648
57.475881,120,32.67414
133.018869,120,32.710226
101.536191,120,32.738957
158.028433,120,32.768416
100.245255,120,32.799029
73.532356,120,32.844412
117.122104,120,32.873056
149.297381,120,32.901338
132.019329,120,32.929744
89.670486,120,32.958903
94.086908,120,32.992488
104.13523,120,33.019992
68.945404,120,33.048585
63.267692,120,33.085757
154.416109,120,33.113084
138.21309,120,33.141653
68.649649,120,33.170021
67.334153,120,33.199079
156.077315,120,33.227334
150.316228,120,33.255558
66.370204,120,33.2831
59.484893,120,33.312142
70.312265,120,33.340623
65.14293,120,33.36889
62.368846,120,33.396303
115.977186,120,33.425505
143.714728,120,33.467315
89.277891,120,33.500725
66.147111,120,33.552653
60.897012,120,33.701254
59.935913,120,33.729129
73.361692,120,33.757384
48.449007,120,33.785702
75.810286,120,33.825591
68.226412,120,33.852907
158.761912,120,33.881659
60.739453,120,33.910201
95.200541,120,33.938801
77.917528,120,33.967468
105.592941,120,33.996945
67.285298,120,34.025789
133.432529,120,34.059195
75.436843,120,34.085915
